HGDG_TARIH,Volume,Close
2020-06-04,255154.0,3.6
2020-06-05,284882.0,3.96
2020-06-08,648154.0,4.35
2020-06-09,13054978.0,4.78
2020-06-10,3758171.0,5.25
2020-06-11,14918750.0,5.77
2020-06-12,44711654.0,6.34
2020-06-15,23654839.0,6.97
2020-06-16,6776028.0,7.66
2020-06-17,15290291.0,8.42
2020-06-18,9368546.0,9.26
2020-06-19,28932144.0,8.34
2020-06-22,38360384.0,9.17
2020-06-23,40180852.0,8.98
2020-06-24,15036652.0,8.4
2020-06-25,9432202.0,7.93
2020-06-26,16120383.0,8.48
2020-06-29,10911978.0,8.26
2020-06-30,8269130.0,7.95
2020-07-01,6813975.0,7.77
2020-07-02,7253201.0,7.79
2020-07-03,4640377.0,7.69
2020-07-06,6944587.0,7.49
2020-07-07,9550838.0,7.46
2020-07-08,5021940.0,7.14
2020-07-09,17914559.0,7.85
2020-07-10,9848746.0,7.38
2020-07-13,8050558.0,7.32
2020-07-14,4007048.0,7.2
2020-07-16,4168155.0,7.28
2020-07-17,3609742.0,7.3
2020-07-20,3487187.0,7.2
2020-07-21,4052593.0,7.12
2020-07-22,4332697.0,6.98
2020-07-23,3511884.0,6.89
2020-07-24,4408354.0,6.71
2020-07-27,10053105.0,7.05
2020-07-28,6064661.0,6.61
2020-07-29,4247578.0,6.66
2020-07-30,1597060.0,6.86
2020-08-04,4188730.0,6.46
2020-08-05,3885261.0,6.66
2020-08-06,4061424.0,6.06
2020-08-07,3192762.0,6.15
2020-08-10,2361017.0,6.06
2020-08-11,4191807.0,6.25
2020-08-12,2936598.0,6.01
2020-08-13,6892672.0,6.61
2020-08-14,13056316.0,7.27
2020-08-17,12278570.0,6.79
2020-08-18,4400129.0,6.5
2020-08-19,5570418.0,6.65
2020-08-20,2314632.0,6.55
2020-08-21,2353936.0,6.5
2020-08-24,1916326.0,6.49
2020-08-25,3598348.0,6.33
2020-08-26,1617464.0,6.29
2020-08-27,1460908.0,6.3
2020-08-28,1767190.0,6.35
