HGDG_TARIH,Volume,Close
2021-06-04,368617254.0,4.23
2021-06-07,462324516.0,4.11
2021-06-08,99698333.0,4.03
2021-06-09,216900744.0,4.43
2021-06-10,264650548.0,4.87
2021-06-11,449133468.0,5.35
2021-06-14,521609769.0,5.49
2021-06-15,405791355.0,6.03
2021-06-16,894120318.0,5.44
2021-06-17,641669395.0,5.61
2021-06-18,285184167.0,5.7
2021-06-21,559432431.0,6.27
2021-06-22,1035666006.0,5.65
2021-06-23,85150202.0,5.26
2021-06-24,63647463.0,5.63
2021-06-25,26738712.0,5.4
2021-06-28,36746917.0,5.4
2021-06-29,27999654.0,5.33
2021-06-30,17050504.0,5.24
2021-07-01,19258831.0,5.31
2021-07-02,13119879.0,5.38
2021-07-05,25041920.0,5.62
2021-07-06,17930825.0,5.61
2021-07-07,20942722.0,5.56
2021-07-08,55554522.0,5.43
2021-07-09,87652688.0,5.38
2021-07-12,38547262.0,5.2
2021-07-13,60856343.0,4.84
2021-07-14,119224485.0,5.15
2021-07-16,122197215.0,5.25
2021-07-19,88778301.0,5.48
2021-07-26,107057450.0,5.45
2021-07-27,87135337.0,5.43
2021-07-28,65801718.0,5.27
2021-07-29,328058780.0,5.38
2021-07-30,91952243.0,5.17
2021-08-02,44169609.0,5.13
2021-08-03,41114211.0,5.05
2021-08-04,83535448.0,5.12
2021-08-05,81918983.0,5.18
2021-08-06,97744366.0,5.11
2021-08-09,80060607.0,5.0
2021-08-10,489358113.0,4.9
2021-08-11,97836473.0,4.66
2021-08-12,80692341.0,4.43
2021-08-13,38951406.0,4.36
2021-08-16,217336345.0,4.79
2021-08-17,161429509.0,4.74
2021-08-18,39214777.0,4.68
2021-08-19,36206470.0,4.64
2021-08-20,71051394.0,4.8
2021-08-23,87292617.0,4.82
2021-08-24,44301968.0,4.68
2021-08-25,36856273.0,4.6
2021-08-26,36884702.0,4.56
2021-08-27,62093497.0,4.75
2021-08-31,63226637.0,4.67
2021-09-01,26413388.0,4.62
2021-09-02,52023010.0,4.61
2021-09-02,52023010.0,4.61
2021-09-03,25361481.0,4.61
2021-09-06,20617499.0,4.59
2021-09-07,24061101.0,4.58
