HGDG_TARIH,Volume,Close
2021-05-03,5486086.0,4.71
2021-05-04,19199250.0,5.18
2021-05-05,244960871.0,4.67
2021-05-06,423263779.0,4.4
2021-05-07,168290002.0,4.63
2021-05-10,187030719.0,5.09
2021-05-11,148076126.0,5.59
2021-05-12,51952114.0,6.14
2021-05-17,317420106.0,6.75
2021-05-18,311282600.0,6.62
2021-05-20,235405629.0,6.96
2021-05-21,203694001.0,7.19
2021-05-24,133675342.0,7.1
2021-05-25,335192295.0,7.57
2021-05-26,240891024.0,8.32
2021-05-27,522739299.0,8.1
2021-05-28,243076591.0,8.6
2021-05-31,238182530.0,8.66
2021-06-01,235618850.0,8.8
2021-06-02,94060341.0,8.48
2021-06-03,82694096.0,7.99
2021-06-04,73627580.0,7.54
2021-06-07,55997034.0,7.78
2021-06-08,23707744.0,7.56
2021-06-09,48069039.0,7.62
2021-06-10,13315843.0,7.49
2021-06-11,17576459.0,7.45
2021-06-14,20053842.0,7.28
2021-06-15,68324887.0,7.81
2021-06-16,23382752.0,7.62
2021-06-17,10269568.0,7.5
2021-06-18,10684209.0,7.58
2021-06-21,12257328.0,7.61
2021-06-22,7912359.0,7.5
2021-06-23,45299316.0,7.92
2021-06-24,44170634.0,8.12
2021-06-25,27283127.0,8.18
2021-06-28,53833279.0,8.65
2021-06-29,124874201.0,9.51
2021-06-30,201657369.0,9.6
2021-07-01,56551654.0,9.22
2021-07-02,97923977.0,9.55
2021-07-05,51291268.0,9.55
2021-07-06,100006192.0,9.7
2021-07-07,88740234.0,10.13
2021-07-08,90562814.0,10.2
2021-07-09,87172231.0,10.56
2021-07-12,98823486.0,10.78
2021-07-13,88401496.0,10.79
2021-07-14,56523895.0,10.78
2021-07-16,32212748.0,10.82
2021-07-19,13962585.0,10.7
2021-07-26,24851253.0,10.55
2021-07-27,21175379.0,10.41
2021-07-28,36875269.0,10.43
2021-07-29,37908697.0,10.9
2021-07-30,19264314.0,10.73
2021-08-02,19984381.0,10.51
2021-08-03,16252031.0,10.69
2021-08-04,35102679.0,11.04
2021-08-05,35676386.0,10.72
2021-08-06,53499343.0,10.9
2021-08-09,99130036.0,11.99
2021-08-10,49382270.0,11.91
2021-08-11,23895373.0,11.9
2021-08-12,17017344.0,11.92
2021-08-13,14834839.0,11.94
2021-08-16,30261847.0,12.0
2021-08-17,37289791.0,12.02
2021-08-18,35982826.0,12.04
2021-08-19,23164086.0,12.1
2021-08-20,87410141.0,12.4
2021-08-23,41798493.0,12.62
2021-08-24,62705932.0,12.75
2021-08-25,65441312.0,12.79
2021-08-26,209523447.0,14.06
2021-08-27,122210088.0,13.77
2021-08-31,89143741.0,13.83
2021-09-01,46858198.0,13.85
2021-09-02,105931184.0,13.9
2021-09-02,105931184.0,13.9
2021-09-03,17663961.0,13.8
2021-09-06,28281406.0,13.37
2021-09-07,34089053.0,12.9
