HGDG_TARIH,Volume,Close
2021-07-06,19231464.0,7.26
2021-07-07,332682527.0,7.11
2021-07-08,65029701.0,6.84
2021-07-09,47837979.0,6.92
2021-07-12,25588789.0,6.72
2021-07-13,105716628.0,7.39
2021-07-14,51421479.0,8.12
2021-07-16,12011294.0,8.93
2021-07-19,15334264.0,9.82
2021-07-26,152512660.0,10.29
2021-07-27,80868567.0,11.31
2021-07-28,25087342.0,12.44
2021-07-29,138249722.0,13.68
2021-07-30,106722945.0,14.35
2021-08-02,129998566.0,13.49
2021-08-03,159584824.0,14.83
2021-08-04,183044808.0,16.31
2021-08-05,113011217.0,17.94
2021-08-06,202049684.0,16.15
2021-08-09,32190737.0,17.76
2021-08-10,34129402.0,17.5
2021-08-11,32269475.0,15.75
2021-08-12,29854388.0,16.85
2021-08-13,14594978.0,15.56
2021-08-16,14701632.0,16.1
2021-08-17,13952082.0,15.89
2021-08-18,10637519.0,15.94
2021-08-19,25493388.0,17.53
2021-08-20,26972364.0,18.39
2021-08-23,18229555.0,18.39
2021-08-24,96289719.0,16.62
2021-08-25,99390988.0,14.96
2021-08-26,23371703.0,13.47
2021-08-27,6917715.0,12.13
2021-08-31,152412750.0,13.34
2021-09-01,170011039.0,14.67
2021-09-02,313802896.0,13.77
2021-09-02,313802896.0,13.77
2021-09-03,91945402.0,13.49
2021-09-06,64998279.0,13.01
2021-09-07,64191092.0,12.47
