HGDG_TARIH,Volume,Close
2017-05-09,7139278.71,1.755
2017-05-10,28382872.0,2.106
2017-05-11,59974826.0,2.25
2017-05-12,53748526.0,2.385
2017-05-15,15239156.0,2.3625
2017-05-16,61704708.0,2.394
2017-05-17,48299193.0,2.187
2017-05-18,22271517.0,1.9575
2017-05-22,28859912.0,2.034
2017-05-23,12286340.0,1.935
2017-05-24,9096924.0,1.908
2017-05-25,24429734.0,1.962
2017-05-26,43421931.0,2.259
2017-05-29,26754652.0,2.2095
2017-05-30,24210923.0,2.25
2017-05-31,20622953.0,2.2545
2017-06-01,61250728.0,2.5695
2017-06-02,83387687.0,2.5065
2017-06-05,93109774.0,3.006
2017-06-06,130225952.0,2.6775
2017-06-07,54311082.0,2.4075
2017-06-08,26594848.0,2.313
2017-06-09,31011523.0,2.331
2017-06-12,25174266.0,2.4345
2017-06-13,11549615.0,2.4165
2017-06-14,15119684.0,2.421
2017-06-15,37636518.0,2.4975
2017-06-16,9823873.0,2.4525
2017-06-19,8419892.0,2.4255
2017-06-20,8545354.0,2.385
2017-06-21,11165806.0,2.3715
2017-06-22,6005130.0,2.3895
2017-06-23,7899267.0,2.4075
2017-06-28,4085342.0,2.3805
2017-06-29,16704562.0,2.3715
2017-06-30,6305142.0,2.331
2017-07-03,5187732.0,2.3355
2017-07-04,6378097.0,2.3085
2017-07-05,9470690.0,2.259
2017-07-06,6005362.0,2.1735
2017-07-07,17456349.0,2.241
2017-07-10,7354340.0,2.2095
2017-07-11,7183076.0,2.187
2017-07-12,5705092.0,2.2095
2017-07-13,4455394.0,2.169
2017-07-14,7805237.0,2.151
2017-07-17,6920077.0,2.1555
2017-07-18,5512214.0,2.2005
2017-07-19,5116508.0,2.1825
2017-07-20,2683461.0,2.1735
2017-07-21,2063221.0,2.169
2017-07-24,5832869.0,2.1825
2017-07-25,6666359.0,2.187
2017-07-26,2941489.0,2.178
2017-07-27,2671803.0,2.1645
2017-07-28,2042827.0,2.1465
2017-07-31,1412438.0,2.151
2017-08-01,2438943.0,2.0925
2017-08-02,2186576.0,2.061
2017-08-03,8216653.0,2.1195
2017-08-04,2683924.0,2.1105
2017-08-07,4765925.0,2.1195
2017-08-08,45211373.0,2.331
2017-08-09,20336370.0,2.295
2017-08-10,9996811.0,2.1915
2017-08-11,9512026.0,2.097
2017-08-14,8327340.0,2.1195
2017-08-15,9885198.0,2.0475
2017-08-16,2491700.0,2.025
2017-08-17,7589797.0,2.052
2017-08-18,4204142.0,2.106
2017-08-21,3495168.0,2.1285
2017-08-22,3884086.0,2.0655
2017-08-23,2930181.0,2.0565
2017-08-24,3115505.0,2.0295
2017-08-25,2303188.0,2.025
2017-08-28,817552.0,2.034
2017-08-29,1279516.0,2.007
2017-08-31,941674.0,1.9845
