HGDG_TARIH,Volume,Close
2021-07-19,128255336.0,9.68
2021-07-26,208196033.0,9.83
2021-07-27,72730778.0,9.78
2021-07-28,95319270.0,10.75
2021-07-29,157789082.0,11.25
2021-07-30,49832782.0,10.9
2021-08-02,120594914.0,9.81
2021-08-03,95205683.0,9.74
2021-08-04,105206358.0,10.71
2021-08-05,285683121.0,11.5
2021-08-06,129734051.0,10.45
2021-08-09,52555092.0,10.8
2021-08-10,104941708.0,11.88
2021-08-11,93596680.0,13.06
2021-08-12,144329253.0,12.93
2021-08-13,23548302.0,13.65
2021-08-16,21725246.0,14.2
2021-08-17,11324970.0,14.3
2021-08-18,25155545.0,15.7
2021-08-19,23002509.0,15.4
2021-08-20,25592347.0,16.29
2021-08-23,17493525.0,16.08
2021-08-24,20470431.0,15.04
2021-08-25,6824817.0,15.13
2021-08-26,9756172.0,15.0
2021-08-27,16516291.0,15.15
2021-08-31,26554586.0,15.25
2021-09-01,35535712.0,13.82
2021-09-02,157923512.0,13.98
2021-09-02,157923512.0,13.98
2021-09-03,28284893.0,14.2
2021-09-06,28307314.0,14.78
2021-09-07,34151080.0,14.69
