HGDG_TARIH,Volume,Close
2020-10-19,411985.0,7.59
2020-10-20,26446.0,8.34
2020-10-21,16680.0,9.17
2020-10-22,133963.0,10.08
2020-10-23,332777.0,11.08
2020-10-26,11674822.0,12.18
2020-10-28,64946838.0,14.72
2020-10-30,225885871.0,16.19
2020-11-02,184167279.0,14.63
2020-11-03,90914878.0,16.09
2020-11-04,59036858.0,17.69
2020-11-05,24438862.0,19.45
2020-11-06,266322387.0,19.57
2020-11-09,102782923.0,19.25
2020-11-10,89726414.0,19.5
2020-11-11,61212617.0,18.53
2020-11-12,57346744.0,18.35
2020-11-13,29187406.0,18.21
2020-11-16,23028642.0,18.19
2020-11-17,25314980.0,17.7
2020-11-18,36465906.0,17.06
2020-11-19,30258926.0,16.88
2020-11-20,79264587.0,17.8
2020-11-23,29106288.0,17.4
2020-11-24,17395072.0,16.96
2020-11-25,14812380.0,16.57
2020-11-26,50186318.0,16.74
2020-11-27,17658975.0,16.88
2020-11-30,13856024.0,16.53
2020-12-01,45444586.0,17.25
2020-12-02,19601080.0,16.98
2020-12-03,123287462.0,17.97
2020-12-04,27527018.0,17.35
2020-12-07,43015931.0,18.05
2020-12-08,28015154.0,18.35
2020-12-09,19744256.0,17.93
2020-12-10,13292370.0,17.7
2020-12-11,11312639.0,17.65
2020-12-14,31531700.0,17.61
2020-12-15,93398157.0,18.51
2020-12-16,23893415.0,17.87
2020-12-17,33777910.0,18.0
2020-12-18,9472566.0,17.91
2020-12-21,12480962.0,17.9
2020-12-22,28560149.0,17.95
2020-12-23,62159987.0,19.2
2020-12-24,28723029.0,18.9
2020-12-25,58000443.0,20.78
2020-12-28,116845825.0,22.84
2020-12-29,81071800.0,22.56
2020-12-30,99196911.0,24.02
2020-12-31,45813154.0,23.68
2021-01-04,89048005.0,25.52
2021-01-05,134519691.0,27.3
2021-01-06,65239548.0,27.46
2021-01-07,127392804.0,30.2
2021-01-08,125526052.0,31.5
2021-01-11,89521740.0,30.9
2021-01-12,64528404.0,29.26
2021-01-13,127061139.0,30.0
2021-01-14,34607285.0,29.04
2021-01-15,50631968.0,30.6
2021-01-18,207493276.0,33.66
2021-01-19,136005732.0,34.5
2021-01-20,132820188.0,37.94
2021-01-21,175218504.0,40.74
2021-01-22,129507647.0,41.84
2021-01-25,85866258.0,40.06
2021-01-26,140446180.0,44.06
2021-01-27,223681688.0,48.46
2021-01-28,286350702.0,53.3
2021-01-29,171205182.0,58.6
2021-02-01,65274417.0,64.45
2021-02-02,39004736.0,70.85
2021-02-03,124202365.0,77.9
2021-02-04,115652630.0,76.2
2021-02-05,71235315.0,71.9
2021-02-08,62472641.0,64.75
2021-02-09,112779534.0,71.2
2021-02-10,100027468.0,78.3
2021-02-11,73559209.0,86.1
2021-02-12,94056421.0,94.7
2021-02-15,139230816.0,93.95
2021-02-16,95849094.0,98.85
2021-02-17,57056217.0,98.8
2021-02-18,71750932.0,91.0
2021-02-19,74548410.0,94.45
2021-02-22,42778508.0,89.3
2021-02-23,71773088.0,85.0
2021-02-24,49610296.0,79.5
2021-02-25,44003395.0,77.0
2021-02-26,39407306.0,74.35
2021-03-01,29471128.0,81.75
2021-03-02,22767822.0,89.9
2021-03-03,19923712.0,98.85
2021-03-04,460583622.0,89.0
2021-03-05,376243230.0,97.9
2021-03-08,521654724.0,103.0
2021-03-09,241225124.0,98.1
2021-03-10,199106176.0,97.0
2021-03-11,364109151.0,97.65
2021-03-12,231593915.0,93.35
2021-03-15,175917935.0,88.45
2021-03-16,161430754.0,88.7
2021-03-17,87123284.0,84.8
2021-03-18,198926252.0,89.9
2021-03-19,144748390.0,86.5
2021-03-22,54534798.0,77.85
2021-03-23,217998390.0,79.75
2021-03-24,111501659.0,81.55
2021-03-25,100985682.0,76.9
2021-03-26,87826017.0,74.5
2021-03-29,60005335.0,70.6
2021-03-30,118297685.0,65.75
2021-03-31,59383381.0,72.3
2021-04-01,32272801.0,79.5
2021-04-02,50336281.0,80.4
2021-04-05,28308042.0,77.45
2021-04-06,14936650.0,73.2
2021-04-07,14236998.0,74.0
2021-04-08,12413011.0,72.45
2021-04-09,16194967.0,74.2
2021-04-12,15634352.0,72.9
2021-04-13,12050107.0,70.2
2021-04-14,9022301.0,71.1
2021-04-15,11372902.0,68.2
2021-04-16,7565334.0,67.25
2021-04-19,19027184.0,61.5
2021-04-20,16116918.0,55.35
2021-04-21,17514214.0,49.82
2021-04-22,24779227.0,54.8
2021-04-26,14121156.0,60.25
2021-04-27,15802332.0,66.25
2021-04-28,27067893.0,67.5
2021-04-29,11575098.0,65.15
2021-04-30,11577236.0,68.65
2021-05-03,16313877.0,72.65
2021-05-04,20955462.0,71.2
2021-05-05,12673763.0,69.45
2021-05-06,28462766.0,74.9
2021-05-07,16362831.0,72.25
2021-05-10,11051713.0,71.9
2021-05-11,20439076.0,72.75
2021-05-12,3162292.0,73.8
2021-05-17,11788664.0,71.2
2021-05-18,11416703.0,69.3
2021-05-20,15851201.0,70.3
2021-05-21,12148452.0,70.5
2021-05-24,11942377.0,70.7
2021-05-25,12547802.0,68.95
2021-05-26,8964931.0,67.55
2021-05-27,7723548.0,66.7
2021-05-28,7029931.0,66.6
2021-05-31,7775419.0,66.0
2021-06-01,12179578.0,72.6
2021-06-02,34596203.0,74.5
2021-06-03,15950235.0,72.4
2021-06-04,11025875.0,70.05
2021-06-07,8683208.0,69.0
2021-06-08,6791574.0,68.0
2021-06-09,8946571.0,69.3
2021-06-10,5660894.0,70.0
2021-06-11,4197833.0,69.4
2021-06-14,4965964.0,68.3
2021-06-15,5275583.0,67.2
2021-06-16,7097060.0,65.15
2021-06-17,24849166.0,71.65
2021-06-18,16828901.0,70.45
2021-06-21,9929473.0,67.55
2021-06-22,6896099.0,67.8
2021-06-23,10848694.0,68.85
2021-06-24,6973673.0,69.4
2021-06-25,5810115.0,68.5
2021-06-28,25178940.0,71.25
2021-06-29,23181562.0,75.0
2021-06-30,21981539.0,75.8
2021-07-01,34139737.0,74.0
2021-07-02,25284053.0,72.3
2021-07-05,32035855.0,70.6
2021-07-06,30567441.0,70.0
2021-07-07,28686744.0,69.5
2021-07-08,35468214.0,67.55
2021-07-09,22662063.0,68.2
2021-07-12,29638087.0,65.35
2021-07-13,32064629.0,63.25
2021-07-14,43619934.0,67.35
2021-07-16,26209509.0,65.2
2021-07-19,7456274.0,64.9
2021-07-26,19859606.0,62.85
2021-07-27,31446321.0,63.45
2021-07-28,37352948.0,62.85
2021-07-29,27311416.0,62.9
2021-07-30,15130469.0,61.6
2021-08-02,18766049.0,61.4417
2021-08-03,21641767.0,61.1925
2021-08-04,14264779.0,61.1925
2021-08-05,17991007.0,60.2956
2021-08-06,18930665.0,59.2491
