HGDG_TARIH,Volume,Close
2021-07-09,79787419.0,17.24
2021-07-12,40533059.0,16.24
2021-07-13,28817602.0,15.65
2021-07-14,49409133.0,15.91
2021-07-16,19274902.0,15.8
2021-07-19,5410704.0,15.64
2021-07-26,18415214.0,15.06
2021-07-27,32653802.0,16.56
2021-07-28,12983898.0,18.21
2021-07-29,12482488.0,20.02
2021-07-30,46845159.0,22.02
2021-08-02,20502705.0,24.22
2021-08-03,36267026.0,26.64
2021-08-04,10500138.0,29.3
2021-08-05,37130742.0,32.22
2021-08-06,55296789.0,35.44
2021-08-09,38102588.0,38.98
2021-08-10,38436209.0,42.86
2021-08-11,106784062.0,38.58
2021-08-12,76304788.0,40.6
2021-08-13,58678063.0,42.86
2021-08-16,49670686.0,46.48
2021-08-17,42593527.0,47.14
2021-08-18,90154115.0,51.85
2021-08-19,110809804.0,51.6
2021-08-20,49788813.0,51.95
2021-08-23,19540933.0,51.85
2021-08-24,40434177.0,54.0
2021-08-25,54764059.0,56.45
2021-08-26,54462964.0,62.05
2021-08-27,96148524.0,63.85
2021-08-31,89666244.0,62.85
2021-09-01,33574714.0,62.7
2021-09-02,160432590.0,65.7
2021-09-02,160432590.0,65.7
2021-09-03,157667668.0,72.25
2021-09-06,216487947.0,65.7
2021-09-07,126378658.0,72.25
