HGDG_TARIH,Volume,Close
2021-06-11,154030334.0,22.54
2021-06-14,86977280.0,24.78
2021-06-15,126729187.0,23.42
2021-06-16,130741473.0,25.14
2021-06-17,63966743.0,24.6
2021-06-18,20472161.0,24.58
2021-06-21,30860759.0,24.72
2021-06-22,16591916.0,24.3
2021-06-23,7087838.0,24.34
2021-06-24,8446155.0,24.22
2021-06-25,5171255.0,24.3
2021-06-28,8670637.0,24.18
2021-06-29,3662507.0,24.24
2021-06-30,5034621.0,24.26
2021-07-01,3144135.0,24.26
2021-07-02,4328102.0,24.28
2021-07-05,6923725.0,24.38
2021-07-06,12014811.0,24.36
2021-07-07,6079418.0,24.44
2021-07-08,6964162.0,24.58
2021-07-09,4550366.0,24.64
2021-07-12,7388416.0,24.56
2021-07-13,3477519.0,24.5
2021-07-14,8760063.0,24.8
2021-07-16,9928367.0,24.96
2021-07-19,650815.0,24.94
2021-07-26,5789958.0,24.94
2021-07-27,4868415.0,24.88
2021-07-28,4596327.0,24.8
2021-07-29,5518325.0,24.82
2021-07-30,7109924.0,24.86
2021-08-02,6495958.0,24.74
2021-08-03,7726373.0,24.0
2021-08-04,2837746.0,23.66
2021-08-05,3716682.0,23.42
2021-08-06,6909893.0,23.92
2021-08-09,2419254.0,23.96
2021-08-10,1994551.0,23.96
2021-08-11,5277140.0,23.86
2021-08-12,1825140.0,23.7
2021-08-13,1851365.0,24.02
2021-08-16,2115170.0,24.04
2021-08-17,4435788.0,24.02
2021-08-18,1787099.0,24.0
2021-08-19,1909301.0,23.82
2021-08-20,2808358.0,23.7
2021-08-23,1530277.0,23.7
2021-08-24,3340678.0,23.62
2021-08-25,1585259.0,23.88
2021-08-26,1340205.0,23.76
2021-08-27,831629.0,23.72
2021-08-31,2049538.0,23.64
2021-09-01,1776796.0,23.64
2021-09-02,1454162.0,23.68
2021-09-02,1454162.0,23.68
2021-09-03,1244357.0,23.64
2021-09-06,3237643.0,23.5
2021-09-07,1457278.0,23.52
