HGDG_TARIH,Volume,Close
2020-12-31,980986.0,21.32
2021-01-04,438971.0,21.0
2021-01-05,389389.0,21.0
2021-01-06,866427.0,22.02
2021-01-07,1221001.0,23.6
2021-01-08,1129193.0,23.6
2021-01-11,1388929.0,21.24
2021-01-12,1273050.0,21.36
2021-01-13,994698.0,20.0
2021-01-14,1478854.0,20.5
2021-01-15,1298641.0,21.2
2021-01-18,1726014.0,22.02
2021-01-19,1045361.0,21.0
2021-01-20,1362730.0,20.54
2021-01-21,978593.0,20.86
2021-01-22,731179.0,19.89
2021-01-25,1619189.0,20.76
2021-01-26,1389122.0,21.82
2021-01-27,5359370.0,24.0
2021-01-28,4415398.0,24.1
2021-01-29,3438580.0,24.5
2021-02-01,2529274.0,22.44
2021-02-02,1730262.0,23.1
2021-02-03,1330346.0,23.2
2021-02-04,2563078.0,24.28
2021-02-05,2161070.0,22.16
2021-02-08,1497292.0,22.26
2021-02-09,4669073.0,20.98
2021-02-10,2715393.0,21.96
2021-02-11,1633811.0,22.5
2021-02-12,1060996.0,22.52
2021-02-15,1702940.0,22.96
2021-02-16,4158977.0,22.98
2021-02-17,1678908.0,22.88
2021-02-18,1384776.0,21.7
2021-02-19,2503121.0,22.94
2021-02-22,1614903.0,22.9
2021-02-23,1456842.0,21.6
2021-02-24,997004.0,21.6
2021-02-25,7321879.0,23.76
2021-02-26,3772785.0,26.12
2021-03-01,4317543.0,28.72
2021-03-02,6250169.0,26.5
2021-03-03,11008450.0,29.14
2021-03-04,8898050.0,32.04
2021-03-05,17607951.0,35.0
2021-03-08,13991126.0,33.08
2021-03-09,10685038.0,34.2
2021-03-10,5936762.0,33.7
2021-03-11,4612615.0,31.7
2021-03-12,4776495.0,32.4
2021-03-15,4191467.0,31.18
2021-03-16,4095463.0,30.5
2021-03-17,4934024.0,28.2
2021-03-18,7493091.0,31.02
2021-03-19,6897313.0,30.0
2021-03-22,2530622.0,27.0
2021-03-23,4361170.0,29.0
2021-03-24,3339444.0,31.0
2021-03-25,3196883.0,31.68
2021-03-26,2358535.0,30.6
2021-03-29,3060918.0,30.08
2021-03-30,1806218.0,30.58
2021-03-31,4413005.0,30.7
2021-04-01,5470550.0,31.14
2021-04-02,5558422.0,31.48
2021-04-05,7068175.0,33.24
2021-04-06,4027993.0,33.28
2021-04-07,10167166.0,36.6
2021-04-08,13607479.0,39.94
2021-04-09,8662355.0,36.7
2021-04-12,8644786.0,35.52
2021-04-13,4730383.0,35.94
2021-04-14,3373296.0,34.9
2021-04-15,4206884.0,34.5
2021-04-16,2564683.0,34.0
2021-04-19,5829905.0,31.5
2021-04-20,2599740.0,31.0
2021-04-21,2937075.0,28.76
2021-04-22,2092032.0,30.5
2021-04-26,1535634.0,31.24
2021-04-27,1165121.0,30.34
2021-04-28,990893.0,30.38
2021-04-29,989003.0,30.2
2021-04-30,693818.0,30.62
2021-05-03,2529783.0,30.06
2021-05-04,1243354.0,28.9
2021-05-05,1449713.0,28.7
2021-05-06,1725026.0,30.0
2021-05-07,842432.0,29.12
2021-05-10,1130155.0,28.9
2021-05-11,1548735.0,28.72
2021-05-12,254268.0,28.6
2021-05-17,3474715.0,30.0
2021-05-18,2316585.0,28.78
2021-05-20,854545.0,28.18
2021-05-21,1053998.0,27.4
2021-05-24,2328421.0,26.88
2021-05-25,2347512.0,26.34
2021-05-26,1568291.0,27.26
2021-05-27,1366440.0,27.96
2021-05-28,1064365.0,28.02
2021-05-31,5242730.0,30.82
2021-06-01,2056758.0,30.68
2021-06-02,3852046.0,32.02
2021-06-03,3942202.0,32.84
2021-06-04,1468178.0,33.2
2021-06-07,3984038.0,34.0
2021-06-08,2050807.0,33.64
2021-06-09,3390097.0,32.52
2021-06-10,2377861.0,31.98
2021-06-11,1057576.0,31.0
2021-06-14,1039841.0,30.7
2021-06-15,3466534.0,33.68
2021-06-16,2090774.0,32.96
2021-06-17,4279258.0,34.5
2021-06-18,1849902.0,34.88
2021-06-21,998506.0,33.26
2021-06-22,1277631.0,33.66
2021-06-23,1973756.0,33.98
2021-06-24,2507587.0,35.1
2021-06-25,2786744.0,35.8
