HGDG_TARIH,Volume,Close
2019-12-09,52065066.57,6.2944
2019-12-10,161402808.69,7.5473
2019-12-11,252711329.58,8.0246
2019-12-12,80673003.8,7.6467
2019-12-13,108221985.66,7.7561
2019-12-16,34479687.54,7.6666
2019-12-17,20836796.76,7.587
2019-12-18,10661415.25,7.418
2019-12-19,51953268.99,7.7163
2019-12-23,15410602.51,7.6069
2019-12-24,25227174.24,7.6765
2019-12-25,112432823.22,8.0544
2019-12-26,35420010.28,7.9749
2019-12-27,12460026.1,7.8854
2019-12-30,10399973.13,7.8655
2019-12-31,6901416.66,7.7064
2020-01-02,9346848.86,7.8456
2020-01-03,10196081.56,7.6268
2020-01-06,7927946.97,7.3583
2020-01-07,28487863.77,7.6666
2020-01-08,6936891.42,7.6169
2020-01-09,17035325.04,7.9251
2020-01-10,38037622.52,8.0842
2020-01-13,49901731.35,8.1041
2020-01-14,20052467.21,8.124
2020-01-15,76819740.92,8.7306
2020-01-16,82859305.18,8.9792
2020-01-17,28435822.29,9.2178
2020-01-20,25506024.93,9.1283
2020-01-21,23230424.74,9.1283
2020-01-22,24207819.26,9.2278
2020-01-23,101750645.8,9.8741
2020-01-24,32547777.34,9.8741
2020-01-27,62741017.7,10.7491
2020-01-28,91891686.53,11.3756
2020-01-29,28066587.9,10.0829
2020-01-30,37566032.88,10.5105
2020-01-31,17847539.59,10.6099
2020-02-03,8848677.76,10.4906
2020-02-04,14287254.56,10.3613
2020-02-05,33336267.82,11.1071
2020-02-06,20892368.89,10.8685
2020-02-07,9778021.17,10.9082
2020-02-10,21746772.46,10.4707
2020-02-11,13534906.0,10.7591
2020-02-12,61962790.0,11.5546
2020-02-13,45755151.0,11.8032
2020-02-14,23606515.0,11.3756
2020-02-17,15022338.0,11.1668
2020-02-18,15262757.0,10.9082
2020-02-19,15938782.0,10.4608
2020-02-20,15398941.0,9.8542
2020-02-21,14274066.0,10.2122
2020-02-24,8626455.0,10.1525
2020-02-25,28446999.0,10.421
2020-02-26,29888995.0,10.3415
2020-02-27,17152025.0,9.7946
2020-02-28,18825669.0,9.0786
2020-03-02,15790977.0,9.3968
2020-03-03,21341187.0,9.7846
2020-03-04,16360797.0,9.8244
2020-03-05,8406458.0,10.0133
2020-03-06,6638427.0,9.6852
2020-03-09,8330889.0,8.6212
2020-03-10,7355569.0,7.7263
2020-03-11,8975408.0,7.6765
2020-03-12,6834141.0,6.3938
2020-03-13,6433111.0,7.0203
2020-03-16,4353712.0,6.6523
2020-03-17,8638136.0,6.9904
2020-03-18,10468524.0,7.3882
2020-03-19,5287257.0,7.2589
2020-03-20,7554632.0,7.2589
2020-03-23,11321502.0,7.1794
2020-03-24,14931778.0,7.8555
2020-03-25,18863378.0,8.0842
2020-03-26,15036691.0,8.3925
2020-03-27,12146752.0,7.9351
2020-03-30,4076614.0,7.7561
2020-03-31,7283077.0,8.0345
2020-04-01,11407646.0,8.0246
2020-04-02,37391016.0,8.4522
2020-04-03,16071809.0,8.1837
2020-04-06,15749270.0,8.4124
2020-04-07,33832896.0,8.6013
2020-04-08,12203434.0,8.7107
2020-04-09,31492545.0,9.1582
2020-04-10,45504514.0,9.7051
2020-04-13,25504552.0,10.0531
2020-04-14,15194885.0,9.8642
2020-04-15,14449172.0,9.7249
2020-04-16,20743033.0,9.6156
2020-04-17,19328209.0,9.894
2020-04-20,35252809.0,10.35
2020-04-21,38838787.0,10.44
2020-04-22,68013853.0,10.85
2020-04-24,39432154.0,10.91
2020-04-27,37013465.0,12.0
2020-04-28,47513903.0,13.2
2020-04-29,49471575.0,13.47
2020-04-30,74306266.0,12.6
2020-05-04,22692446.0,11.85
2020-05-05,80283711.0,13.03
2020-05-06,106095048.0,14.33
2020-05-07,146946135.0,14.9
2020-05-08,66960960.0,13.65
2020-05-11,36340578.0,13.95
2020-05-12,36675144.0,13.57
2020-05-13,56705014.0,14.08
2020-05-14,146631882.0,15.48
2020-05-15,99751328.0,15.3
2020-05-18,39151235.0,15.28
2020-05-20,48482189.0,16.13
2020-05-21,153322869.0,17.15
2020-05-22,61991413.0,17.23
2020-05-27,48705736.0,17.6
2020-05-28,86975688.0,15.86
2020-05-29,48334332.0,15.93
2020-06-01,27046417.0,15.3
2020-06-02,56117708.0,15.02
2020-06-03,91954720.0,15.99
2020-06-04,45477389.0,15.1
2020-06-05,19820657.0,15.02
2020-06-08,30643310.0,15.5
2020-06-09,48867021.0,16.23
2020-06-10,42736616.0,16.11
2020-06-11,38948580.0,16.47
2020-06-12,63917853.0,16.95
2020-06-15,29948916.0,16.19
2020-06-16,32479653.0,16.7
2020-06-17,18563663.0,16.4
2020-06-18,15266808.0,16.35
2020-06-19,16992318.0,16.0
2020-06-22,13948525.0,15.56
