HGDG_TARIH,Volume,Close
2021-05-18,140338537.0,31.98
2021-05-20,31758923.0,31.98
2021-05-21,14740005.0,31.96
2021-05-24,10839653.0,31.9
2021-05-25,19118390.0,31.84
2021-05-26,16810525.0,31.88
2021-05-27,6527176.0,31.88
2021-05-28,4706346.0,31.9
2021-05-31,4614952.0,31.88
2021-06-01,7487640.0,31.94
2021-06-02,8497738.0,31.92
2021-06-03,11641113.0,31.94
2021-06-04,6182493.0,31.92
2021-06-07,5625706.0,31.94
2021-06-08,5168063.0,31.96
2021-06-09,9054396.0,31.92
2021-06-10,5992878.0,32.0
2021-06-11,5887589.0,31.86
2021-06-14,9416552.0,31.9
2021-06-15,6569892.0,32.0
2021-06-16,74030954.0,35.2
2021-06-17,71447545.0,32.04
2021-06-18,17745040.0,32.0
2021-06-21,10290686.0,32.08
2021-06-22,5581125.0,32.1
2021-06-23,4173954.0,32.02
2021-06-24,8332437.0,32.4
2021-06-25,3532613.0,32.2
2021-06-28,2537563.0,32.5
2021-06-29,2133159.0,32.18
2021-06-30,15359101.0,32.2
2021-07-01,4510091.0,32.44
2021-07-02,5330495.0,32.56
2021-07-05,10289594.0,33.2
2021-07-06,4584949.0,33.22
2021-07-07,8926863.0,34.4
2021-07-08,11221590.0,34.26
2021-07-09,12895255.0,34.3
2021-07-12,2384822.0,33.62
2021-07-13,1783677.0,33.74
2021-07-14,5440622.0,34.02
2021-07-16,6683972.0,34.72
2021-07-19,2025541.0,34.78
2021-07-26,6519450.0,34.86
2021-07-27,3303855.0,34.88
2021-07-28,3526026.0,34.92
2021-07-29,2253743.0,35.0
2021-07-30,15967277.0,35.4
2021-08-02,69337190.0,35.0
2021-08-03,117953049.0,36.68
2021-08-04,44805038.0,40.34
2021-08-05,17862667.0,44.36
2021-08-06,7825339.0,48.78
2021-08-09,69195625.0,53.65
2021-08-10,16880547.0,59.0
2021-08-11,97304477.0,56.0
2021-08-12,49751532.0,59.45
2021-08-13,37163958.0,65.35
2021-08-16,32731401.0,71.85
2021-08-17,87808477.0,74.8
2021-08-18,56938927.0,82.25
2021-08-19,17680864.0,90.45
2021-08-20,12120214.0,95.95
2021-08-23,7774929.0,86.4
2021-08-24,12887556.0,77.8
2021-08-25,11174555.0,85.0
2021-08-26,7326420.0,83.5
2021-08-27,4199685.0,80.0
2021-08-31,3160950.0,83.0
2021-09-01,3678832.0,80.75
2021-09-02,4571826.0,82.2
2021-09-02,4571826.0,82.2
2021-09-03,6872217.0,87.0
2021-09-06,2922221.0,85.85
2021-09-07,4414831.0,86.0
