HGDG_TARIH,Volume,Close
2018-02-23,20273609.0,1.4
2018-02-26,10144295.0,1.61
2018-02-27,19456330.0,1.55
2018-02-28,3816427.0,1.51
2018-03-01,5381082.0,1.52
2018-03-02,1483030.0,1.5
2018-03-05,1100172.0,1.51
2018-03-06,886943.0,1.5
2018-03-07,1519869.0,1.48
2018-03-08,520275.0,1.48
2018-03-09,1363118.0,1.43
2018-03-12,652028.0,1.43
2018-03-13,187722.0,1.42
2018-03-14,584338.0,1.43
2018-03-15,664177.0,1.44
2018-03-16,209998.0,1.45
2018-03-19,1209391.0,1.48
2018-03-20,522631.0,1.47
2018-03-21,787897.0,1.47
2018-03-22,88679.0,1.46
2018-03-23,222783.0,1.46
2018-03-26,280894.0,1.48
2018-03-27,404281.0,1.44
2018-03-28,154231.0,1.43
2018-03-29,305563.0,1.41
2018-03-30,314368.0,1.41
2018-04-02,257431.0,1.44
2018-04-03,81042.0,1.42
2018-04-04,116825.0,1.4
2018-04-05,538723.0,1.36
2018-04-06,1792464.0,1.45
2018-04-09,363146.0,1.42
2018-04-10,157105.0,1.43
2018-04-11,460026.0,1.41
2018-04-12,2008415.0,1.47
2018-04-13,598259.0,1.44
2018-04-16,474887.0,1.46
2018-04-17,392846.0,1.42
2018-04-18,411911.0,1.44
2018-04-19,184848.0,1.44
2018-04-20,574219.0,1.44
2018-04-24,120431.0,1.44
2018-04-25,1946240.0,1.46
2018-04-26,317919.0,1.43
2018-04-27,103033.0,1.45
2018-04-30,279906.0,1.42
2018-05-02,2100248.78,1.44
2018-05-03,788701.73,1.4
2018-05-04,273281.0,1.4
2018-05-07,342575.0,1.39
2018-05-08,405471.0,1.39
2018-05-09,190897.0,1.39
2018-05-10,390910.0,1.4
2018-05-11,81504.64,1.41
2018-05-14,70157.79,1.39
2018-05-15,589540.0,1.39
2018-05-16,255980.0,1.39
2018-05-17,220383.0,1.35
2018-05-18,541896.0,1.31
2018-05-21,237696.0,1.31
2018-05-22,354983.0,1.32
2018-05-23,163649.0,1.31
2018-05-24,168285.0,1.29
2018-05-25,49428.0,1.27
2018-05-28,105716.0,1.28
2018-05-29,336775.0,1.27
2018-05-30,219410.0,1.29
2018-05-31,274165.0,1.28
2018-06-01,28351.0,1.27
2018-06-04,20943.0,1.27
2018-06-05,250951.0,1.32
2018-06-06,79473.0,1.33
2018-06-07,60585.0,1.3
2018-06-08,73633.0,1.31
2018-06-11,275215.0,1.3
2018-06-12,43890.0,1.29
2018-06-13,91641.0,1.27
2018-06-14,17016.0,1.29
2018-06-18,12668.0,1.28
2018-06-19,717864.0,1.3
2018-06-20,166739.0,1.29
2018-06-21,135703.0,1.28
2018-06-22,408535.0,1.3
2018-06-25,319075.0,1.29
2018-06-26,216182.0,1.29
2018-06-27,222597.0,1.31
2018-06-28,305378.0,1.32
2018-06-29,266429.0,1.33
2018-07-02,210860.0,1.32
2018-07-03,454726.0,1.33
2018-07-04,288714.0,1.31
2018-07-05,260010.0,1.32
2018-07-06,193580.0,1.31
2018-07-09,318077.0,1.29
2018-07-10,137905.0,1.29
2018-07-11,105326.0,1.27
2018-07-12,110460.0,1.24
2018-07-13,143599.0,1.23
2018-07-16,122383.0,1.25
2018-07-17,101497.0,1.27
2018-07-18,210306.0,1.27
2018-07-19,150971.0,1.27
2018-07-20,185170.0,1.27
2018-07-23,183606.0,1.28
2018-07-24,119722.0,1.26
2018-07-25,212498.0,1.28
2018-07-26,1913776.0,1.33
2018-07-27,344015.0,1.3
2018-07-30,317525.0,1.28
2018-07-31,167862.0,1.27
2018-08-01,198696.0,1.26
2018-08-02,9732669.0,1.35
2018-08-03,2899824.0,1.33
2018-08-06,812523.0,1.34
2018-08-07,393263.0,1.34
2018-08-08,1573702.0,1.37
2018-08-09,272533.0,1.34
2018-08-10,335537.0,1.28
2018-08-13,293379.0,1.26
2018-08-14,89024.0,1.29
2018-08-15,35837.0,1.28
2018-08-16,169771.0,1.32
2018-08-17,580290.0,1.39
2018-08-20,415607.0,1.53
2018-08-27,568033.0,1.55
2018-08-28,333321.0,1.54
2018-08-29,668654.0,1.65
2018-08-31,785287.0,1.72
2018-09-03,519134.0,1.67
2018-09-04,359303.0,1.63
2018-09-05,300883.0,1.62
2018-09-06,68084.0,1.61
2018-09-07,77339.0,1.61
2018-09-10,118497.0,1.57
2018-09-11,145814.0,1.58
2018-09-12,92259.0,1.57
2018-09-13,94432.21,1.59
2018-09-14,47294.0,1.58
2018-09-17,134912.0,1.58
2018-09-18,70404.0,1.57
2018-09-19,181372.0,1.54
2018-09-20,247028.0,1.53
2018-09-21,23193.0,1.53
2018-09-24,111242.0,1.54
2018-09-25,139038.0,1.54
2018-09-26,55735.0,1.55
2018-09-27,387163.0,1.55
2018-09-28,32797.0,1.54
2018-10-01,149722.0,1.55
2018-10-02,153647.0,1.55
2018-10-03,9950.0,1.54
2018-10-04,108694.0,1.5
2018-10-05,151012.0,1.56
2018-10-08,20601.0,1.54
2018-10-09,40095.0,1.57
2018-10-10,55367.0,1.51
2018-10-11,53541.0,1.49
2018-10-12,102748.0,1.46
2018-10-15,480760.0,1.53
2018-10-16,91645.0,1.54
2018-10-17,112176.0,1.52
2018-10-18,31495.0,1.5
2018-10-19,25766.0,1.49
2018-10-22,18454.0,1.5
2018-10-23,3347803.0,1.52
2018-10-24,793368.0,1.41
2018-10-25,706866.0,1.32
2018-10-26,335629.0,1.25
2018-10-30,306344.0,1.21
2018-10-31,838399.0,1.23
2018-11-01,96686.0,1.22
2018-11-02,141747.0,1.23
2018-11-05,82118.0,1.24
2018-11-06,97743.0,1.26
2018-11-07,1054647.0,1.32
2018-11-08,396438.0,1.29
2018-11-09,31612.0,1.31
2018-11-12,278374.0,1.38
2018-11-13,442768.0,1.43
2018-11-14,107389.0,1.45
2018-11-15,178044.0,1.49
2018-11-16,165531.0,1.43
2018-11-19,282978.0,1.39
2018-11-20,158449.0,1.38
2018-11-21,140900.0,1.39
2018-11-22,343266.0,1.43
2018-11-23,254026.0,1.43
2018-11-26,206870.0,1.44
2018-11-27,625175.0,1.49
2018-11-28,377818.0,1.52
2018-11-29,5644581.0,1.39
2018-11-30,671017.0,1.35
2018-12-03,318981.0,1.33
2018-12-04,462921.0,1.34
2018-12-05,340915.0,1.33
2018-12-06,444163.0,1.33
2018-12-07,178363.0,1.34
2018-12-10,267239.0,1.36
2018-12-11,243788.0,1.34
2018-12-12,732172.0,1.3
2018-12-13,187311.0,1.29
2018-12-14,153497.0,1.27
2018-12-17,162149.0,1.27
2018-12-18,93582.0,1.26
2018-12-19,172943.0,1.26
2018-12-20,233364.0,1.26
2018-12-21,105965.0,1.25
2018-12-24,146009.0,1.28
2018-12-25,676007.0,1.33
2018-12-26,192859.0,1.27
2018-12-27,230822.0,1.28
2018-12-28,54444.0,1.27
2018-12-31,53473.0,1.27
2019-01-02,96264.0,1.27
2019-01-03,173770.0,1.27
2019-01-04,215194.0,1.28
2019-01-07,102749.0,1.27
2019-01-08,216309.0,1.3
2019-01-09,104530.0,1.29
2019-01-10,90656.0,1.3
2019-01-11,121864.0,1.3
2019-01-14,92501.0,1.28
2019-01-15,67237.0,1.26
2019-01-16,180396.0,1.27
2019-01-17,1439628.0,1.3
2019-01-18,211742.0,1.29
2019-01-21,113033.0,1.3
2019-01-22,190850.0,1.34
2019-01-23,123920.0,1.32
2019-01-24,111434.0,1.32
2019-01-25,182768.0,1.33
2019-01-28,550420.0,1.44
2019-01-29,2168398.0,1.39
2019-01-30,476330.0,1.35
2019-01-31,828281.0,1.36
2019-02-01,164658.0,1.35
2019-02-04,305294.0,1.34
2019-02-05,83087.0,1.36
2019-02-06,281987.0,1.34
2019-02-07,183063.0,1.37
2019-02-08,113866.0,1.35
2019-02-11,55988.0,1.37
2019-02-12,164089.0,1.35
2019-02-13,181280.0,1.34
2019-02-14,148083.0,1.36
2019-02-15,169038.0,1.4
2019-02-18,154051.0,1.37
2019-02-19,61382.0,1.38
2019-02-20,28258.0,1.38
2019-02-21,99651.0,1.37
2019-02-22,58736.0,1.38
2019-02-25,491745.0,1.39
2019-02-26,281974.0,1.38
2019-02-27,127018.0,1.4
2019-02-28,633626.0,1.4
2019-03-01,93870.0,1.4
2019-03-04,109262.0,1.38
2019-03-05,357908.0,1.41
2019-03-06,177152.0,1.4
2019-03-07,147706.0,1.39
2019-03-08,58698.0,1.38
2019-03-11,43103.0,1.37
2019-03-12,152702.0,1.36
2019-03-13,74778.0,1.36
2019-03-14,162830.0,1.37
2019-03-15,61993.0,1.36
2019-03-18,160158.0,1.35
2019-03-19,479063.0,1.32
2019-03-20,2760291.0,1.44
2019-03-21,572115.0,1.38
2019-03-22,148387.0,1.34
2019-03-25,438807.0,1.35
2019-03-26,238249.0,1.36
2019-03-27,152638.0,1.32
2019-03-28,25858.0,1.34
2019-03-29,91183.0,1.34
2019-04-01,135881.0,1.36
2019-04-02,131700.0,1.4
2019-04-03,534184.0,1.45
2019-04-04,379149.0,1.4
2019-04-05,853203.0,1.42
2019-04-08,655614.0,1.4
2019-04-09,163327.0,1.4
2019-04-10,61755.0,1.39
