HGDG_TARIH,Volume,Close
2021-06-08,45250031.0,6.21
2021-06-09,149534424.0,6.63
2021-06-10,40205322.0,6.34
2021-06-11,19589824.0,6.13
2021-06-14,73952137.0,6.2
2021-06-15,35289348.0,6.2
2021-06-16,36937097.0,5.92
2021-06-17,40265716.0,5.63
2021-06-18,38730167.0,5.73
2021-06-21,18132783.0,5.4
2021-06-22,16488147.0,5.34
2021-06-23,20844447.0,5.27
2021-06-24,16580369.0,5.29
2021-06-25,15462730.0,5.19
2021-06-28,20241659.0,4.88
2021-06-29,10503894.0,4.82
2021-06-30,9599269.0,4.8
2021-07-01,11206993.0,4.86
2021-07-02,7540551.0,4.8
2021-07-05,26410367.0,4.91
2021-07-06,36480174.0,5.19
2021-07-07,9860299.0,5.05
2021-07-08,7733111.0,4.85
2021-07-09,9592800.0,4.81
2021-07-12,6400045.0,4.64
2021-07-13,3789046.0,4.5
2021-07-14,4374463.0,4.55
2021-07-16,4597439.0,4.57
2021-07-19,8744365.0,4.84
2021-07-26,10083283.0,4.87
2021-07-27,3046675.0,4.87
2021-07-28,64486001.0,4.97
2021-07-29,18565009.0,5.01
2021-07-30,8044516.0,4.94
2021-08-02,9131410.0,4.95
2021-08-03,4831574.0,4.94
2021-08-04,69386331.0,5.43
2021-08-05,83275018.0,5.38
2021-08-06,34852263.0,5.45
2021-08-09,16274962.0,5.41
2021-08-10,49331676.0,5.47
2021-08-11,17904136.0,4.97
2021-08-12,15013360.0,5.13
2021-08-13,7452876.0,5.1
2021-08-16,9514681.0,5.11
2021-08-17,27710149.0,5.26
2021-08-18,10785607.0,5.17
2021-08-19,22262240.0,5.3
2021-08-20,7950060.0,5.3
2021-08-23,13365936.0,5.2
2021-08-24,8535997.0,5.18
2021-08-25,9401633.0,5.07
2021-08-26,12721009.0,4.87
2021-08-27,7490853.0,4.93
2021-08-31,9582312.0,4.99
2021-09-01,8677687.0,5.0
2021-09-02,14556308.0,4.97
2021-09-02,14556308.0,4.97
2021-09-03,7119393.0,4.93
2021-09-06,9103625.0,4.95
2021-09-07,6460066.0,4.9
