HGDG_TARIH,Volume,Close
2019-11-15,24218926.0,1.8987
2019-11-18,11403691.0,1.8918
2019-11-19,6666043.0,1.8883
2019-11-20,8796351.0,1.8918
2019-11-21,8196798.0,1.8849
2019-11-22,12263198.0,1.8849
2019-11-25,6406320.0,1.8745
2019-11-26,3110061.0,1.8779
2019-11-27,7600982.0,1.8537
2019-11-28,8791763.0,1.8329
2019-11-29,6422148.0,1.8259
2019-12-02,15132681.0,1.871
2019-12-03,11423979.0,1.871
2019-12-04,264268461.0,2.2452
2019-12-05,319410955.0,2.3041
2019-12-06,78755880.0,2.2417
2019-12-09,38844797.0,2.1724
2019-12-10,68820625.0,2.2175
2019-12-11,22959066.0,2.1724
2019-12-12,21818769.0,2.1031
2019-12-13,21764158.0,2.0997
2019-12-16,15212229.0,2.0893
2019-12-17,119889943.0,2.1378
2019-12-18,20995253.62,2.0962
2019-12-19,27201154.0,2.1205
2019-12-23,32377030.0,2.1309
2019-12-24,36250810.0,2.2071
2019-12-25,24712088.0,2.1828
2019-12-26,11948434.0,2.1551
2019-12-27,11696373.0,2.1516
2019-12-30,8235324.0,2.1551
2019-12-31,6057463.0,2.1239
2020-01-02,18836487.0,2.2071
2020-01-03,17760728.0,2.1516
2020-01-06,10053275.0,2.0477
2020-01-07,22203881.0,2.1135
2020-01-08,10807370.07,2.0927
2020-01-09,13613165.67,2.1551
2020-01-10,21394088.0,2.1794
2020-01-13,16336125.0,2.2244
2020-01-14,12398413.0,2.2279
2020-01-15,12550905.0,2.2001
2020-01-16,14796241.0,2.1898
2020-01-17,27286178.0,2.2729
2020-01-20,15809840.0,2.2868
2020-01-21,56948244.0,2.5016
2020-01-22,41313773.0,2.4288
2020-01-23,65426422.0,2.7614
2020-01-24,58264577.0,2.7718
2020-01-27,31736808.0,2.7337
2020-01-28,31423693.0,2.6818
2020-01-29,13582202.0,2.6367
2020-01-30,19822545.0,2.6436
2020-01-31,11746088.0,2.6991
2020-02-03,18532403.0,2.6921
2020-02-04,13711110.0,2.7199
2020-02-05,49338892.0,2.8896
2020-02-06,27184973.0,2.7961
2020-02-07,32112552.0,2.8273
2020-02-10,23400733.0,2.7822
2020-02-11,20817284.0,2.758
2020-02-12,107945503.0,3.0109
2020-02-13,81562602.0,3.2223
2020-02-14,57791255.0,3.4787
2020-02-17,54757247.0,3.4094
2020-02-18,36839017.0,3.4371
2020-02-19,21786673.0,3.302
2020-02-20,105951514.0,3.2638
2020-02-21,24692206.0,3.2361
2020-02-24,21623426.0,3.2465
2020-02-25,38519085.0,3.2985
2020-02-26,14373204.0,3.3262
2020-02-27,34161870.0,3.0525
2020-02-28,16104759.0,2.9312
2020-03-02,18040677.0,3.153
2020-03-03,13410252.0,3.198
2020-03-04,39245117.0,3.0941
2020-03-05,23757363.0,3.0213
2020-03-06,11271042.0,2.9104
2020-03-09,10341254.0,2.6332
2020-03-10,9435738.0,2.4323
2020-03-11,9323527.0,2.311
2020-03-12,8375477.0,1.9541
2020-03-13,7865226.0,2.0789
2020-03-16,5628416.0,1.871
2020-03-17,6748769.0,1.8086
2020-03-18,8003529.0,1.774
2020-03-19,6883205.0,1.7255
2020-03-20,8600034.0,1.7809
2020-03-23,6898859.0,1.7116
2020-03-24,10733849.0,1.8433
2020-03-25,18557300.0,1.8606
2020-03-26,23539091.0,1.9992
2020-03-27,14087038.0,1.8814
2020-03-30,8542518.0,1.8433
2020-03-31,17533802.0,2.0269
2020-04-01,35064020.0,2.0581
2020-04-02,15015316.0,2.0269
2020-04-03,5461720.0,2.0165
2020-04-06,15244313.0,2.1031
2020-04-07,18412135.0,2.0789
2020-04-08,12991041.0,2.1031
2020-04-09,15805649.0,2.1516
2020-04-10,58946841.0,2.3665
2020-04-13,41240759.0,2.4115
2020-04-14,22214125.0,2.46
2020-04-15,39687860.0,2.3976
2020-04-16,27894147.0,2.4669
2020-04-17,42538448.0,2.5536
2020-04-20,33373358.0,2.6159
2020-04-21,20387665.0,2.5051
2020-04-22,17152467.0,2.4669
2020-04-24,16972416.0,2.4773
2020-04-27,28423554.0,2.5986
2020-04-28,65388939.0,2.7684
2020-04-29,56476629.0,2.8273
2020-04-30,24560614.0,2.7476
2020-05-04,15713339.0,2.6714
2020-05-05,29343222.0,2.7511
2020-05-06,45669637.0,2.8238
2020-05-07,42303074.0,2.8377
2020-05-08,22055436.0,2.7926
2020-05-11,12303162.0,2.7476
2020-05-12,11467631.0,2.7996
2020-05-13,13301083.0,2.7718
2020-05-14,13139872.0,2.6991
2020-05-15,39220822.0,2.8654
2020-05-18,39267376.0,3.0248
2020-05-20,55923044.0,3.0352
2020-05-21,9659313.0,3.0074
2020-05-22,10451302.0,2.9971
2020-05-27,46264746.0,3.2846
2020-05-28,52724984.0,3.2292
2020-05-29,24322883.0,3.1149
2020-06-01,21241885.0,3.1079
2020-06-02,24208190.0,3.0767
2020-06-03,17970567.0,3.1426
2020-06-04,17305605.0,3.1287
2020-06-05,14461264.0,3.153
2020-06-08,9526251.0,3.1183
2020-06-09,16166506.0,3.1599
2020-06-10,41262430.0,3.1564
2020-06-11,15092043.0,3.1114
2020-06-12,16968833.0,3.0975
2020-06-15,10018519.0,3.1114
2020-06-16,32473300.0,3.2223
2020-06-17,92130968.0,3.5202
2020-06-18,112542931.0,3.6623
2020-06-19,38563680.0,3.6554
2020-06-22,91906110.0,3.8979
2020-06-23,46119783.0,3.7662
2020-06-24,23534555.0,3.794
2020-06-25,33665660.0,3.8494
2020-06-26,26275761.0,3.7766
